name,description
63_72hr_CH.xml,臺北市三天3小時天氣預報XML檔中文
63_72hr_EN.xml,臺北市三天3小時天氣預報XML檔英文
63_Week24_CH.xml,臺北市一週24小時天氣預報XML檔中文
63_Week24_EN.xml,臺北市一週24小時天氣預報XML檔英文
63_Weekday_CH.xml,臺北市一週日夜天氣預報XML檔中文
63_Weekday_EN.xml,臺北市一週日夜天氣預報XML檔英文
64_72hr_CH.xml,高雄市三天3小時天氣預報XML檔中文
64_72hr_EN.xml,高雄市三天3小時天氣預報XML檔英文
64_Week24_CH.xml,高雄市一週24小時天氣預報XML檔中文
64_Week24_EN.xml,高雄市一週24小時天氣預報XML檔英文
64_Weekday_CH.xml,高雄市一週日夜天氣預報XML檔中文
64_Weekday_EN.xml,高雄市一週日夜天氣預報XML檔英文
65_72hr_CH.xml,新北市三天3小時天氣預報XML檔中文
65_72hr_EN.xml,新北市三天3小時天氣預報XML檔英文
65_Week24_CH.xml,新北市一週24小時天氣預報XML檔中文
65_Week24_EN.xml,新北市一週24小時天氣預報XML檔英文
65_Weekday_CH.xml,新北市一週日夜天氣預報XML檔中文
65_Weekday_EN.xml,新北市一週日夜天氣預報XML檔英文
66_72hr_CH.xml,臺中市三天3小時天氣預報XML檔中文
66_72hr_EN.xml,臺中市三天3小時天氣預報XML檔英文
66_Week24_CH.xml,臺中市一週24小時天氣預報XML檔中文
66_Week24_EN.xml,臺中市一週24小時天氣預報XML檔英文
66_Weekday_CH.xml,臺中市一週日夜天氣預報XML檔中文
66_Weekday_EN.xml,臺中市一週日夜天氣預報XML檔英文
67_72hr_CH.xml,臺南市三天3小時天氣預報XML檔中文
67_72hr_EN.xml,臺南市三天3小時天氣預報XML檔英文
67_Week24_CH.xml,臺南市一週24小時天氣預報XML檔中文
67_Week24_EN.xml,臺南市一週24小時天氣預報XML檔英文
67_Weekday_CH.xml,臺南市一週日夜天氣預報XML檔中文
67_Weekday_EN.xml,臺南市一週日夜天氣預報XML檔英文
68_72hr_CH.xml,桃園市三天3小時天氣預報XML檔中文
68_72hr_EN.xml,桃園市三天3小時天氣預報XML檔英文
68_Week24_CH.xml,桃園市一週24小時天氣預報XML檔中文
68_Week24_EN.xml,桃園市一週24小時天氣預報XML檔英文
68_Weekday_CH.xml,桃園市一週日夜天氣預報XML檔中文
68_Weekday_EN.xml,桃園市一週日夜天氣預報XML檔英文
09007_72hr_CH.xml,連江縣三天3小時天氣預報XML檔中文
09007_72hr_EN.xml,連江縣三天3小時天氣預報XML檔英文
09007_Week24_CH.xml,連江縣一週24小時天氣預報XML檔中文
09007_Week24_EN.xml,連江縣一週24小時天氣預報XML檔英文
09007_Weekday_CH.xml,連江縣一週日夜天氣預報XML檔中文
09007_Weekday_EN.xml,連江縣一週日夜天氣預報XML檔英文
09020_72hr_CH.xml,金門縣三天3小時天氣預報XML檔中文
09020_72hr_EN.xml,金門縣三天3小時天氣預報XML檔英文
09020_Week24_CH.xml,金門縣一週24小時天氣預報XML檔中文
09020_Week24_EN.xml,金門縣一週24小時天氣預報XML檔英文
09020_Weekday_CH.xml,金門縣一週日夜天氣預報XML檔中文
09020_Weekday_EN.xml,金門縣一週日夜天氣預報XML檔英文
10002_72hr_CH.xml,宜蘭縣三天3小時天氣預報XML檔中文
10002_72hr_EN.xml,宜蘭縣三天3小時天氣預報XML檔英文
10002_Week24_CH.xml,宜蘭縣一週24小時天氣預報XML檔中文
10002_Week24_EN.xml,宜蘭縣一週24小時天氣預報XML檔英文
10002_Weekday_CH.xml,宜蘭縣一週日夜天氣預報XML檔中文
10002_Weekday_EN.xml,宜蘭縣一週日夜天氣預報XML檔英文
10004_72hr_CH.xml,新竹縣三天3小時天氣預報XML檔中文
10004_72hr_EN.xml,新竹縣三天3小時天氣預報XML檔英文
10004_Week24_CH.xml,新竹縣一週24小時天氣預報XML檔中文
10004_Week24_EN.xml,新竹縣一週24小時天氣預報XML檔英文
10004_Weekday_CH.xml,新竹縣一週日夜天氣預報XML檔中文
10004_Weekday_EN.xml,新竹縣一週日夜天氣預報XML檔英文
10005_72hr_CH.xml,苗栗縣三天3小時天氣預報XML檔中文
10005_72hr_EN.xml,苗栗縣三天3小時天氣預報XML檔英文
10005_Week24_CH.xml,苗栗縣一週24小時天氣預報XML檔中文
10005_Week24_EN.xml,苗栗縣一週24小時天氣預報XML檔英文
10005_Weekday_CH.xml,苗栗縣一週日夜天氣預報XML檔中文
10005_Weekday_EN.xml,苗栗縣一週日夜天氣預報XML檔英文
10007_72hr_CH.xml,彰化縣三天3小時天氣預報XML檔中文
10007_72hr_EN.xml,彰化縣三天3小時天氣預報XML檔英文
10007_Week24_CH.xml,彰化縣一週24小時天氣預報XML檔中文
10007_Week24_EN.xml,彰化縣一週24小時天氣預報XML檔英文
10007_Weekday_CH.xml,彰化縣一週日夜天氣預報XML檔中文
10007_Weekday_EN.xml,彰化縣一週日夜天氣預報XML檔英文
10008_72hr_CH.xml,南投縣三天3小時天氣預報XML檔中文
10008_72hr_EN.xml,南投縣三天3小時天氣預報XML檔英文
10008_Week24_CH.xml,南投縣一週24小時天氣預報XML檔中文
10008_Week24_EN.xml,南投縣一週24小時天氣預報XML檔英文
10008_Weekday_CH.xml,南投縣一週日夜天氣預報XML檔中文
10008_Weekday_EN.xml,南投縣一週日夜天氣預報XML檔英文
10009_72hr_CH.xml,雲林縣三天3小時天氣預報XML檔中文
10009_72hr_EN.xml,雲林縣三天3小時天氣預報XML檔英文
10009_Week24_CH.xml,雲林縣一週24小時天氣預報XML檔中文
10009_Week24_EN.xml,雲林縣一週24小時天氣預報XML檔英文
10009_Weekday_CH.xml,雲林縣一週日夜天氣預報XML檔中文
10009_Weekday_EN.xml,雲林縣一週日夜天氣預報XML檔英文
10010_72hr_CH.xml,嘉義縣三天3小時天氣預報XML檔中文
10010_72hr_EN.xml,嘉義縣三天3小時天氣預報XML檔英文
10010_Week24_CH.xml,嘉義縣一週24小時天氣預報XML檔中文
10010_Week24_EN.xml,嘉義縣一週24小時天氣預報XML檔英文
10010_Weekday_CH.xml,嘉義縣一週日夜天氣預報XML檔中文
10010_Weekday_EN.xml,嘉義縣一週日夜天氣預報XML檔英文
10013_72hr_CH.xml,屏東縣三天3小時天氣預報XML檔中文
10013_72hr_EN.xml,屏東縣三天3小時天氣預報XML檔英文
10013_Week24_CH.xml,屏東縣一週24小時天氣預報XML檔中文
10013_Week24_EN.xml,屏東縣一週24小時天氣預報XML檔英文
10013_Weekday_CH.xml,屏東縣一週日夜天氣預報XML檔中文
10013_Weekday_EN.xml,屏東縣一週日夜天氣預報XML檔英文
10014_72hr_CH.xml,臺東縣三天3小時天氣預報XML檔中文
10014_72hr_EN.xml,臺東縣三天3小時天氣預報XML檔英文
10014_Week24_CH.xml,臺東縣一週24小時天氣預報XML檔中文
10014_Week24_EN.xml,臺東縣一週24小時天氣預報XML檔英文
10014_Weekday_CH.xml,臺東縣一週日夜天氣預報XML檔中文
10014_Weekday_EN.xml,臺東縣一週日夜天氣預報XML檔英文
10015_72hr_CH.xml,花蓮縣三天3小時天氣預報XML檔中文
10015_72hr_EN.xml,花蓮縣三天3小時天氣預報XML檔英文
10015_Week24_CH.xml,花蓮縣一週24小時天氣預報XML檔中文
10015_Week24_EN.xml,花蓮縣一週24小時天氣預報XML檔英文
10015_Weekday_CH.xml,花蓮縣一週日夜天氣預報XML檔中文
10015_Weekday_EN.xml,花蓮縣一週日夜天氣預報XML檔英文
10016_72hr_CH.xml,澎湖縣三天3小時天氣預報XML檔中文
10016_72hr_EN.xml,澎湖縣三天3小時天氣預報XML檔英文
10016_Week24_CH.xml,澎湖縣一週24小時天氣預報XML檔中文
10016_Week24_EN.xml,澎湖縣一週24小時天氣預報XML檔英文
10016_Weekday_CH.xml,澎湖縣一週日夜天氣預報XML檔中文
10016_Weekday_EN.xml,澎湖縣一週日夜天氣預報XML檔英文
10017_72hr_CH.xml,基隆市三天3小時天氣預報XML檔中文
10017_72hr_EN.xml,基隆市三天3小時天氣預報XML檔英文
10017_Week24_CH.xml,基隆市一週24小時天氣預報XML檔中文
10017_Week24_EN.xml,基隆市一週24小時天氣預報XML檔英文
10017_Weekday_CH.xml,基隆市一週日夜天氣預報XML檔中文
10017_Weekday_EN.xml,基隆市一週日夜天氣預報XML檔英文
10018_72hr_CH.xml,新竹市三天3小時天氣預報XML檔中文
10018_72hr_EN.xml,新竹市三天3小時天氣預報XML檔英文
10018_Week24_CH.xml,新竹市一週24小時天氣預報XML檔中文
10018_Week24_EN.xml,新竹市一週24小時天氣預報XML檔英文
10018_Weekday_CH.xml,新竹市一週日夜天氣預報XML檔中文
10018_Weekday_EN.xml,新竹市一週日夜天氣預報XML檔英文
10020_72hr_CH.xml,嘉義市三天3小時天氣預報XML檔中文
10020_72hr_EN.xml,嘉義市三天3小時天氣預報XML檔英文
10020_Week24_CH.xml,嘉義市一週24小時天氣預報XML檔中文
10020_Week24_EN.xml,嘉義市一週24小時天氣預報XML檔英文
10020_Weekday_CH.xml,嘉義市一週日夜天氣預報XML檔中文
10020_Weekday_EN.xml,嘉義市一週日夜天氣預報XML檔英文
TAIWAN_72hr_CH.xml,臺灣三天3小時天氣預報XML檔中文
TAIWAN_72hr_EN.xml,臺灣三天3小時天氣預報XML檔英文
TAIWAN_Week24_CH.xml,臺灣一週24小時天氣預報XML檔中文
TAIWAN_Week24_EN.xml,臺灣一週24小時天氣預報XML檔英文
TAIWAN_Weekday_CH.xml,臺灣一週日夜天氣預報XML檔中文
TAIWAN_Weekday_EN.xml,臺灣一週日夜天氣預報XML檔英文
